TIMESTAMP (START) : 04/03/22 00:50:07		TARGET LINE : 10
0,86

0,86

0,87

0,87

0,86

0,86

0,86

0,87

0,86

0,86

0,87

0,86

0,86

0,86

0,86

9,86

9,86

24,87

24,87

26,86

22,86

22,87

19,86

22,87

22,87

19,86

1,87

1,86

0,87

1,86

1,87

14,86

21,86

21,87

23,86

23,86

30,87

15,86

15,86

0,86

0,87

0,86

0,87

0,8

TIMESTAMP (START) : 04/03/22 00:50:07		TARGET LINE : 10
0,86

0,87

0,86

0,86

0,86

0,86

0,87

0,87

0,87

0,87

0,86

0,86

0,86

0,86

0,87

0,86

0,86

0,86

0,86

0,87

0,86

0,86

0,87

0,86

0,87

0,86

0,87

0,86

0,86

0,86

0,86

0,87

0,87

3,86

21,86

21,87

28,87

26,86

26,87

27,87

27,86

32,86

33,87

33,86

36,86

42,86

42,86

45,86

43,86

43,86

40,86

30,86

30,86

38,86

44,86

44,86

33,86

33,87

1,86

